Date,Country,Confirmed,Recovered,Deaths
2020-06-08,South Sudan,1604,15,19
2020-06-08,Spain,241717,150376,27136
2020-06-08,Sri Lanka,1857,990,11
2020-06-08,Sudan,6242,2059,372
2020-06-08,Suriname,128,9,2
2020-06-08,Sweden,45133,0,4694
2020-06-08,Switzerland,30972,28700,1923
2020-06-08,Syria,144,62,6
2020-06-08,Taiwan*,443,430,7
2020-06-08,Tajikistan,4609,2763,48
2020-06-08,Tanzania,509,183,21
2020-06-08,Thailand,3119,2973,58
2020-06-08,Timor-Leste,24,24,0
2020-06-08,Togo,497,251,13
2020-06-08,Trinidad and Tobago,117,109,8
2020-06-08,Tunisia,1087,982,49
2020-06-08,Turkey,171121,141380,4711
2020-06-08,US,1960897,518522,110990
2020-06-08,Uganda,646,103,0
2020-06-08,Ukraine,28077,12657,805
2020-06-08,United Arab Emirates,39376,22275,281
2020-06-08,United Kingdom,288834,1255,40680
2020-06-08,Uruguay,845,738,23
2020-06-08,Uzbekistan,4440,3357,18
2020-06-08,Venezuela,2473,487,22
2020-06-08,Vietnam,332,316,0
2020-06-08,West Bank and Gaza,473,404,3
2020-06-08,Western Sahara,9,6,1
2020-06-08,Yemen,496,23,112
2020-06-08,Zambia,1200,912,10
2020-06-08,Zimbabwe,287,46,4
